"","LumA","LumB","Her2","Basal","Normal"
"1",0.460914779560436,0.585674269409491,-1.02875451639944,-1.3831035643331,-0.592413069992769
"2",0.534327193500048,0.590499689411445,-1.14271499269398,-1.5489047018181,-0.569422653346141
"3",0.388490540232376,0.0712878357634899,-0.770896479455521,-0.795784538890066,-0.140782579901591
"4",0.514981921918113,0.0787356067684269,-0.909207691665763,-1.09391390162143,-0.180179040897107
"5",-0.131331563914524,0.211189374902364,1.63315959343497,-0.582803872091114,-0.473679358919272
"6",0.0384819086338402,0.0106296202386264,1.53473721705589,-0.819268930620653,-0.341844162134049
"7",-0.190834659623574,-0.371705570245628,0.204979388358385,0.77859175264896,0.517394844717001
"8",0.0449306267090599,-0.820175873677615,-0.43171444590565,0.810035370481394,1.13643961918053
"9",0.165959907917217,-0.749782465031433,-0.604576067847941,0.459934379289995,1.16007828205602
"10",0.0465930555326449,-0.830801089677483,-0.392704162911837,0.821818606024145,1.01466607751157
"11",0.49956747378236,0.479893459179818,-0.605832786673806,-1.59745319180953,-0.517348427091183
"12",0.461204551170958,0.461559504749058,0.223625955622811,-1.90496500488118,-0.37503211587287
"13",-0.481217980483084,0.488636467872433,0.422688011946629,0.756419766289285,-0.71124072231045
"14",0.514531723792986,0.162343355087367,-1.17135721868,-1.04144597330705,-0.270011924990827
"15",-0.298341261442903,0.00357847701102645,0.418397475855602,0.646281802512314,0.0245580637360377
"16",-0.120842286988381,-0.179427377685469,0.576685502068008,0.31367093041147,-0.223005556222351
"17",0.16562626505807,-0.346057509599549,-0.51391332406744,0.160404031612066,0.0781502304099071
